,text,label
0, আমার জীবনের সবথেকে ফালতু একটা নাটক এইটা,0
1, সাধারণ মানুষ টিভি চ্যানেল গুলো ছুড়ে ফেলে দিয়ে ইউটিউবে নাটক দেখে কারণ  টিভি চ্যানেল গুলোর বিরক্তিকর এ্যাডগুলোর জন্য। এখন এখানেও সেই ভাইরাস / রোগ ঢুকে গেছে। এই কম্পিটিশন এর যুগে ইউটিউব কতৃপক্ষ যদি বিজ্ঞাপন দেয়ার বিষয়ে আরও সচেতন এবং সুদূরপ্রসারী চিন্তা ভাবনা না করেন এক সময় আপনারাও কালের গর্ভে হারিয়ে যাবেন।,0
2, স্টুডেন্ট ওরে একটা থাপ্পড় মারো,0
3," নাটকটিতে কথা থেকে মিউজিকের সাউন্ডটা বেশি হয়ে গেছে,যে কারনে কথাগুলো অনেক সময় ক্লিয়ার শোনা যায় না।",0
4, পাকনা মেয়াটা একটা বাজে,0
5, ধূস পুরো ফালতু. স্টোরি খুব দুর্বল,0
6, কথার চেয়ে মিউজিকের আওয়াজ বেশি,0
7, আমি আফরান নিশোর  অনেক বড় ফ্যান কিন্তু ইদানিং সে অনেক বাজে নাটক করছে তার উচিৎ দেখে শুনে কাজ করা,0
8," নাটকের শেষাংশে সনাতনি কায়দা অবলম্বন করা হয়েছে, যা আমার কাছে ভালো লাগে নাই, চাই নতুনত্ব!",0
9, শেষ টা ভাল লাগলো না,0
10, vai maybe science বানান টা ভুল হয়েছে।,0
11, স্টুডেন্ট মেয়েটা নাটকটাকে বিরক্তিকর  বানিয়েছে..,0
12, স্টুডেন্ট টারে ইচ্ছে করে কসায় একটা টাপ্পর মারি।,0
13, এই স্টুডেন্ট এর ক্যারেক্টার টা পুরা নাটকের কমপ্লেক্সান টা নষ্ট করে দিসে।,0
14, ফালতু একটা নাটক দেখে এত সময় নষ্ট করলাম,0
15, নাটকের মধ্যে কবে জানি দেখব নাইকা গলায় ওড়না পেঁচিয়ে মারা গেছে।।।। কারণ তারা তো ওড়না সব সময় গলায় পেঁচিয়ে রাখে তাই আতংকে থাকি।।।,0
16, বাজে হইছে....,0
